shelfmark,headline,summary,url,image_soup,image_server_base_url,image_rel
"Bern, Burgerbibliothek, Cod. 756.55",Parchment · 1 f. · 33 x 24.5 cm · Germany or France (?) · 13th/14th century,Single leaf from a manuscript of unknown provenance containing Gregory the Great's Moralia in Hiob. The fragment arrived in Bern in 1632 as part of a printed volume (MUE Bong IV 251) that had been the property of Jacques Bongars; it was probably removed from the host volume in the 1930s.               (mit),https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-55,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-55/bbb-0756-55_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-55/bbb-0756-55_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-55/bbb-0756-55_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.56",Parchment · 1 f. · 35 x 28 cm · Southern France/ Northern Italy · 2nd half of the 10th century,"Single sheet of a collection of homilies, probably in two volumes, from the Dominican Monastery of Bern, which were used around 1495 by the bookbinder Johannes Vatter as pastedowns for various incunables that are currently held in Bern and Solothurn. After the secularization of the monastery in 1528, the host volume perhaps came into the possession of the Sterner family in Biel and further to Bern via the antiquarian bookshop Max Müller (BBB Mss.h.h.XXXIV.35).               (mit/hol)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-56,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-56/bbb-0756-56_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-56/bbb-0756-56_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-56/bbb-0756-56_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.57",Parchment · 1 f. · 34 x 28 cm · Southern France/ Northern Italy · 2nd half of the 10th century,"Single sheet of a collection of homilies, probably in two volumes, from the Dominican Monastery of Bern, which were used around 1495 by the bookbinder Johannes Vatter as pastedowns for various incunables that are currently held in Bern and Solothurn. After the secularization of the monastery in 1528, the host volume perhaps came into the possession of the Sterner family in Biel and further to Bern via the antiquarian bookshop Max Müller (BBB Mss.h.h.XXXIV.35).               (mit/hol)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-57,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-57/bbb-0756-57_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-57/bbb-0756-57_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-57/bbb-0756-57_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.58",Parchment · 3 ff. · 30.5 x 21.5 cm · Germany · end of the 10th/beginning of the 11th century,"Fragments (1 bifolium, 1 single leaf) from a manuscript of Clement of Rome's Recognitiones, possibly from Germany; around 1495 Johannes Vatter, bookbinder for the Dominican monastery of Bern, used them as pastedowns for volumes printed in Basel. After the dissolution of the monastery in 1528, the host volume (MUE Inc. I.88) found its way into the Bernese library under unknown circumstances. In February 1935 the fragments were removed by librarian Hans Bloesch.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-58,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-58/bbb-0756-58_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-58/bbb-0756-58_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-58/bbb-0756-58_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.59","Parchment · 1 f. · 46 x 32 cm · France, Tours · early 9th century","Remnants of an Alcuin's Bible from the Dominican Monastery of Bern, which were used around 1495 by the bookbinder Johannes Vatter as pastedowns for various incunables that are currently held in Bern and Solothurn. After the secularization of the monastery in 1528, the host volume (MUE Inc I 85) became the property of Eberhard Rümlang (ca. 1500–1551) and Wolfgang Musculus (= Müslin, 1497–1563), who donated the volume to the Bern library in 1556. Around 1945, the fragments were removed from the host volumes by Johannes Lindt. Reunification of the fragments : [sine loco], codices restituti, Cod. 5 (Biblia latina).               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-59,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-59/bbb-0756-59_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-59/bbb-0756-59_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-59/bbb-0756-59_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.60",Parchment · 14 ff. · 34.5–35 x 28.5–29 cm · Southern France/ Northern Italy · 2nd half of the 10th century,"Important remnants of a collection of homilies, probably in two volumes, from the Dominican Monastery of Bern, which were used around 1495 by the bookbinder Johannes Vatter as pastedowns for various incunables that are currently held in Bern and Solothurn. After the secularization of the monastery in 1528, the host volumes perhaps as part of a bequest of books by the Venner [standard bearer] Jürg Schöni in 1534, became part of the Bern library. Around 1945, Johannes Lindt detached the fragments from the host volumes.               (mit/hol)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-60,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-60/bbb-0756-60_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-60/bbb-0756-60_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-60/bbb-0756-60_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.61",Parchment · 8 ff. · 33.5–34 x 27 cm · Southern France/ Northern Italy · 2nd half of the 10th century,"Important remnants of a collection of homilies, probably in two volumes, from the Dominican Monastery of Bern, which were used around 1495 by the bookbinder Johannes Vatter as pastedowns for various incunables that are currently held in Bern and Solothurn. After the secularization of the monastery in 1528, the host volumes perhaps as part of a bequest of books by the Venner [standard bearer] Jürg Schöni in 1534, became part of the Bern library. Around 1945, Johannes Lindt detached the fragments from the host volumes.               (mit/hol)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-61,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-61/bbb-0756-61_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-61/bbb-0756-61_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-61/bbb-0756-61_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.64",Parchment · 4 ff. · 24.5-26.5 x 19.5-21 cm · 2nd half of the 9th century / 1st half of the 10th century,"Fragment of a manuscript of the  Institutiones grammaticae by Priscian, probably from the South of Germany; 10 more leaves from this manuscript can be found in Paris BN lat. 10403. f. 6–15. These four single leaves, inserted into a printed version owned by Jacques Bongars, came to Bern in 1632, where they were detached from their host volume in the 20th century.               (mit/san)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-64,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-64/bbb-0756-64_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-64/bbb-0756-64_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-64/bbb-0756-64_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.66",Parchment · 3 ff. · 17.5 x 26.5; 19 x 38; 17 x 14.5 cm · 1538-1569,"These three documents are from the previous binding of Cod. 120 (now 120-1 and 120-2), from which they were removed during restoration. They are two documents from the imperial court of the tribunal of the Counts of Sulz in Rottweil (no. 1 and 3) and a fragment of a bill of sale issued in Strasbourg.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-66,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-66/bbb-0756-66_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-66/bbb-0756-66_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-66/bbb-0756-66_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.69",Parchment · 1 f. · 29 x 19 cm; 29 x 22.5 cm · France · around 1439,"Two leaves that originally belonged together, from a copy of a document dated 8 March 1439; in 1935 they were removed during the restoration of Cod. 207 at the Burgerbibliothek Bern. In the text on f. 1r, Charles, Duke of Orléans and of Valois (1394-1465), and Jean the Bastard of Orléans (= Jean de Dunois, 1402-1468) are mentioned.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-69,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-69/bbb-0756-69_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-69/bbb-0756-69_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-69/bbb-0756-69_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.70",Parchment · 9 ff. · 33-34 x 25.5-26.5 cm · France: Tours · early 9th century,"Remnants of an Alcuin's Bible from the Dominican Monastery of Bern, which were used around 1495 by the bookbinder Johannes Vatter as pastedowns for various incunables that are currently held in Bern and Solothurn. After the secularization of the monastery in 1528, the host volumes (MUE Inc. III.15, Vol. 3–4; the strip of Cod. 756.70e is from MUE Inc. I.6), perhaps as part of a bequest of books by the Venner [standard bearer] Jürg Schöni in 1534, became part of the Bern library. Around 1945, the fragments were removed from the host volumes by Johannes Lindt. Reunification of the fragments: [sine loco], codices restituti, Cod. 5 (Biblia latina).               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-70,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-70/bbb-0756-70_0005v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-70/bbb-0756-70_0005v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-70/bbb-0756-70_0005v.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.71","Parchment · 2 ff. · 26.5 x 33.5/31.5 cm · France, Tours · early 9th century","Remnants of an Alcuin's Bible from the Dominican Monastery of Bern, which were used around 1495 by the bookbinder Johannes Vatter as pastedowns for various incunables that are currently held in Bern and Solothurn. After the secularization of the monastery in 1528, the host volume (MUE Inc. III.15, Vol. 1) perhaps as part of a bequest of books by the Venner [standard bearer] Jürg Schöni in 1534, became part of the Bern library. Around 1945, the fragments were removed from the host volumes by Johannes Lindt. Reunification of the fragments: [sine loco], codices restituti, Cod. 5 (Biblia latina).               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-71,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-71/bbb-0756-71_0001v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-71/bbb-0756-71_0001v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-71/bbb-0756-71_0001v.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.72",Parchment · 1 f. · 13 x 31 cm · 1580-1590,"This fragment was removed from Cod. 172‬‬ during the restoration of the previous binding; presumably it originated in the legal office of Pierre Daniels in Orléans, as attested by the fact that his name is on the document.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-72,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-72/bbb-0756-72_001.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-72/bbb-0756-72_001.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-72/bbb-0756-72_001.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.77",Parchment · 2 ff. · 32.5 x 21 cm · Germany · 10th century,"Bifolium from a manuscript probably made in Germany, containing Gregory the Great's Homiliae in Ezechielem. The fragment was purchased by the City Library of Bern in 1937 as part of the von Mülinen family's collection, although it is not recorded in Gottfried v. Mülinen's catalogue, which was compiled in 1837.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-77,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-77/bbb-0756-77_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-77/bbb-0756-77_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-77/bbb-0756-77_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.78",Parchment · 2 ff. · 26 x 13 cm · Southern Germany · beginning of the 14th century,"Remnants of a manuscript of the Arabel by Ulrich von dem Türlin, which constitutes the backstory to the Willehalm by Wolfram von Eschenbach. Purchased by the Burgerbibliothek in 1937 from Hans Peter Kraus, antiquarian book dealer in Vienna.               (mit/san)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-78,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-78/bbb-0756-78_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-78/bbb-0756-78_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-78/bbb-0756-78_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.84",Parchment · 2 ff. · 37 x 24.5 cm; 34.5 x 25 cm · 15th century,"The two fragments come from the previous binding of Cod. 125‬‬‬‬‬‬‬‬, from which they were removed during restoration; presumably they contain parts of a plenarium with musical notation.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-84,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-84/bbb-0756-84_001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-84/bbb-0756-84_001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-84/bbb-0756-84_001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.86",Parchment · 1 f. · 33.5 x 31.5 cm · Switzerland: Engelberg? · beginning of the 13th century,"Fragment from a choir book with neumes (Proprium Sanctorum) for Benedictines in the Diocese of Constance, with a large initial H for the Matins of Candlemas (f. 1vb). This leaf is from a manuscript that was perhaps produced in Engelberg for the monastery of Augustinian Canons Regular at Interlaken; since the 16th century it served as the cover of a book of accounts in Meiringen. In 1940 it was acquired by the City Library of Bern through an exchange with the State Archives of Bern.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-86,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-86/bbb-0756-86_0001v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-86/bbb-0756-86_0001v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-86/bbb-0756-86_0001v.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.95",Parchment · 1 f. · 17 x 27 cm · Switzerland: Engelberg · around 1200,Single leaf with a splendid initial from a richly illustrated manuscript of Flavius Josephus' Antiquitates Iudaicae from the monastery of Engelberg; around 1600 it was sold by Abbot Andreas Hersch or Abbot Melchior Kitz to the Zurich bookseller and bookbinder Johann Felix Haller (active 1603-1637) and was then used by him as manuscript waste for a historical work by Hans Felix Grob the Younger (1572-1653). It is unclear when this volume reached the City Library of Bern and when it was assigned the shelf mark Mss.h.h.XXIa.25; the binding manuscript waste was removed by Johann Lindt in 1941.               (mit),https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-95,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-95/bbb-0756-95_0001v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-95/bbb-0756-95_0001v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-95/bbb-0756-95_0001v.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.98",Parchment · 1 f. · 36 x 23 cm · France: Strasbourg area · 10th/11th century,"This fragment, consisting of 1 leaf, contains an excerpt from a missal with neumes, which probably originated in the Strasbourg area based on its contents, the celebration of St. Arbogast. Around 1650 it was re-used, presumably in Bern, as dust cover for a school notebook of Niclaus Frisching (BBB Mss.h.h. XXIV.183), from which it was removed in 1944.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-98,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-98/bbb-0756-98_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-98/bbb-0756-98_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-98/bbb-0756-98_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 756.99",Parchment · 2 ff. · 24 x 20 cm · France: central Loire area · second third of the 9th century,"Bifolium from a commentary on the Gospel of Matthew by Hrabanus Maurus, from the Loire region and written largely in Tironian notes. The provenance initially suggests that it may be part of the Bongarsiana, but apparently the City Library of Bern purchased the fragment only in 1937 with the collection of the von Mülinen family; the fragment was discovered in December 1954 in a collection of papers that were part of the family library.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0756-99,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0756-99/bbb-0756-99_0001v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-99/bbb-0756-99_0001v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0756-99/bbb-0756-99_0001v.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 803",Parchment · 1 f. · 597 x 13-13.5 cm · Alsace: probably Murbach Abbey · end of the 11th / beginning of the 12th century,"This manuscript is probably from Murbach Abbey; it is an example of the transmission of texts by the medium of the medieval scroll. The Rotulus von Mülinen contains more than 460 recipes, incantations and blessings in Latin, with selective interlinear glosses in Old High German. In addition there is an isolated recipe purely in Old High German Contra paralysin theutonice. The verso side contains an extensive glossary with over 1500 lemmas from the field of medicine, partly provided with Latin and Old High German explanations.               (koe)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0803,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0803/bbb-0803_e001.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0803/bbb-0803_e001.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0803/bbb-0803_e001.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. 847.9",Parchment · 2 ff. · 21 x 23.5 cm · 1571,"These two fragments are from the binding of Cod. 611, from which they were removed during restoration; they are two halves of a French notarial document relating to Pierre Daniel.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/0847-09,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-0847-09/bbb-0847-09_recto.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-0847-09/bbb-0847-09_recto.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-0847-09/bbb-0847-09_recto.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. A 9","Parchment · 329 ff. · 44.5 x 35 cm · France, Vienne · late 10th century / early 11th century","Monumental Bible in one volume, which reveals Spanish tradition and which is related to the so-called ‘Theodulf-Bibles.' At the beginning there is a binio with the coena nuptialis in the version of Rabanus Maurus. Inserted into the text are a version of the Sibylline Oracles, a vita of John, as well as an oath regarding the rights of the church and a catalog of the bishops of Vienne; at the end are remnants of the Psalmi iuxta Hebraeos. The greater part of the manuscript's many initials has been cut out.               (mit)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/A0009,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-A0009/bbb-A0009_003v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-A0009/bbb-A0009_003v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-A0009/bbb-A0009_003v.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. A 45",Paper · 159 ff. · 30 x 22 cm · Königsfelden · 1479-1482,"This Österreichische Chronik der 95 Herrschaften was copied around 1479 by Clemens Specker in Königsfelden Monastery. It is followed by a song about the War of Aargau, texts about King Frederick III, Konrad Pfettisheim's story of Peter von Hagenbach, a song about Charles the Bold, the Swiss Annals by Clemens Specker, as well as pasted woodcuts of the Nine Worthies. It is richly decorated with miniatures and coats of arms. A copy of Cod. A 45 from 1597 can be found in BBB Mss.h.h.VI.74. After the dissolution of the monastery, the codex passed into private hands in Bern in 1528, and in the 17th/18th century, it became part of the Stadtbibliothek of Bern.               (mit/san)",https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/A0045,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-A0045/bbb-A0045_0001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-A0045/bbb-A0045_0001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-A0045/bbb-A0045_0001r.jp2/full/pct:25/0/default/jpg
"Bern, Burgerbibliothek, Cod. A 91.1",Parchment · 2 ff. · 36 x 26 cm · France · 12th century,Bifolium from a manuscript of Gregory the Great's Homiliae in Evangelia. This fragment came to Bern in 1632 as part of the bequest of Jacques Bongars.               (mit),https://www.e-codices.unifr.ch/en/searchresult/list/one/bbb/A0091-01,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""bbb/bbb-A0091-01/bbb-A0091-01_001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/bbb/bbb-A0091-01/bbb-A0091-01_001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/bbb/bbb-A0091-01/bbb-A0091-01_001r.jp2/full/pct:25/0/default/jpg
